# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.620809312921e-01       3.835263747189e+02 
       4.652894105345e-01       3.779771495462e+02 
       4.684978899836e-01       3.724999049882e+02 
       4.717063696354e-01       3.670990174720e+02 
       4.749148494856e-01       3.617808782601e+02 
       4.781233295303e-01       3.565538955371e+02 
       4.813318097655e-01       3.514297260866e+02 
       4.845402901875e-01       3.464186405261e+02 
       4.877487707925e-01       3.415313014460e+02 
       4.909572515770e-01       3.367743396142e+02 
       4.941657325374e-01       3.321470908639e+02 
       4.973742136703e-01       3.276419107787e+02 
       5.005826949724e-01       3.232478171210e+02 
       5.037911764405e-01       3.189554329759e+02 
       5.069996580714e-01       3.147530586100e+02 
       5.102081398620e-01       3.106335752983e+02 
       5.134166218093e-01       3.065891260633e+02 
       5.166251039103e-01       3.026156485134e+02 
       5.198335861624e-01       2.987054801056e+02 
       5.230420685625e-01       2.948507526112e+02 
       5.262505511081e-01       2.910465527672e+02 
       5.294590337964e-01       2.872904366028e+02 
       5.326675166249e-01       2.835838291934e+02 
       5.358759995911e-01       2.799313937968e+02 
       5.390844826925e-01       2.763383726735e+02 
       5.422929659266e-01       2.728090726144e+02 
       5.455014492912e-01       2.693444557037e+02 
       5.487099327840e-01       2.659466842459e+02 
       5.519184164026e-01       2.626116981588e+02 
       5.551269001449e-01       2.593389534711e+02 
       5.583353840088e-01       2.561280220784e+02 
       5.615438679922e-01       2.529808897864e+02 
       5.647523520931e-01       2.498961397385e+02 
       5.679608363093e-01       2.468729380000e+02 
       5.711693206391e-01       2.439082752931e+02 
       5.743778050804e-01       2.409972209004e+02 
       5.775862896315e-01       2.381348411926e+02 
       5.807947742905e-01       2.353166947181e+02 
       5.840032590556e-01       2.325418359950e+02 
       5.872117439250e-01       2.298094354075e+02 
       5.904202288971e-01       2.271195368822e+02 
       5.936287139703e-01       2.244717869767e+02 
       5.968371991427e-01       2.218646229944e+02 
       6.000456844130e-01       2.192957923940e+02 
       6.032541697794e-01       2.167633276730e+02 
       6.064626552405e-01       2.142666090271e+02 
       6.096711407948e-01       2.118064254992e+02 
       6.128796264407e-01       2.093848061592e+02 
       6.160881121770e-01       2.070037628313e+02 
       6.192965980021e-01       2.046629457543e+02 
       6.225050839147e-01       2.023646345220e+02 
       6.257135699134e-01       2.001054054542e+02 
       6.289220559969e-01       1.978816678653e+02 
       6.321305421639e-01       1.956926738120e+02 
       6.353390284132e-01       1.935381336592e+02 
       6.385475147435e-01       1.914178969751e+02 
       6.417560011536e-01       1.893325646247e+02 
       6.449644876423e-01       1.872812492633e+02 
       6.481729742084e-01       1.852621842966e+02 
       6.513814608508e-01       1.832728711402e+02 
       6.545899475683e-01       1.813105052836e+02 
       6.577984343599e-01       1.793750451138e+02 
       6.610069212244e-01       1.774658207897e+02 
       6.642154081609e-01       1.755839389815e+02 
       6.674238951682e-01       1.737306010363e+02 
       6.706323822454e-01       1.719093792280e+02 
